"model","query","table","prompt_tokens","generated_tokens","eval_duration_sec","total_duration_sec","tokens_per_sec","time_total_sec","status","sql","run_id","run_date"
"qwen3:8b","Select number of variants in NEK1","varInfo_synthetic",136,266,30.246655273,46.178122056,8.79436081772148,46.2296407222748,"PASS","SELECT COUNT(VAR_id) FROM varInfo_synthetic WHERE gene_name = 'NEK1';",1,"20260620"
"qwen3:8b","What is the variant with the highest allele frequency?","varInfo_synthetic",138,371,42.595168279,43.40613918,8.70990807149618,43.4291517734528,"PASS","SELECT * FROM varInfo_synthetic WHERE AF = (SELECT MAX(AF) FROM varInfo_synthetic);",1,"20260620"
"qwen3:8b","Select number of variants in NEK1","varInfo_synthetic",136,247,28.048049697,28.696384445,8.80631639876262,28.7102835178375,"PASS","SELECT COUNT(*) FROM varInfo_synthetic WHERE gene_name = 'NEK1';",2,"20260620"
"qwen3:8b","What is the variant with the highest allele frequency?","varInfo_synthetic",138,392,45.187387623,46.069331683,8.67498699571814,46.0835983753204,"PASS","SELECT * FROM varInfo_synthetic ORDER BY AF DESC LIMIT 1;",2,"20260620"
"qwen3:8b","Select number of variants in NEK1","varInfo_synthetic",136,246,27.891923458,28.590667583,8.81975746027089,28.608565568924,"PASS","SELECT COUNT(*) FROM varInfo_synthetic WHERE gene_name = 'NEK1';",3,"20260620"
"qwen3:8b","What is the variant with the highest allele frequency?","varInfo_synthetic",138,359,41.352189303,42.163636295,8.68152342236341,42.1841466426849,"PASS","SELECT VAR_id, AF FROM varInfo_synthetic ORDER BY AF DESC LIMIT 1;",3,"20260620"
"qwen3:8b","Select number of variants in NEK1","varInfo_synthetic",136,301,34.528837711,35.240556216,8.71735105940473,35.2539856433868,"PASS","SELECT COUNT(*) FROM varInfo_synthetic WHERE gene_name = 'NEK1';",4,"20260620"
"qwen3:8b","What is the variant with the highest allele frequency?","varInfo_synthetic",138,764,89.856969343,91.004075376,8.50240115581549,91.0172355175018,"PASS","SELECT * FROM varInfo_synthetic ORDER BY AF DESC LIMIT 1;",4,"20260620"
"qwen3:8b","Select number of variants in NEK1","varInfo_synthetic",136,354,40.933723148,41.682830001,8.64812611157009,41.6956551074982,"PASS","SELECT COUNT(*) FROM varInfo_synthetic WHERE gene_name = 'NEK1';",5,"20260620"
"qwen3:8b","What is the variant with the highest allele frequency?","varInfo_synthetic",138,337,38.890184931,39.698160124,8.66542549483666,39.7129864692688,"PASS","SELECT * FROM varInfo_synthetic WHERE AF = (SELECT MAX(AF) FROM varInfo_synthetic);",5,"20260620"
"qwen2.5-coder:latest","Select number of variants in NEK1","varInfo_synthetic",155,22,1.80563147,8.882659638,12.1841031049376,8.89946007728577,"PASS","SELECT COUNT(*) FROM varInfo_synthetic WHERE gene_name = 'NEK1';",1,"20260620"
"qwen2.5-coder:latest","What is the variant with the highest allele frequency?","varInfo_synthetic",157,23,1.89819983,2.451808633,12.1167432619568,2.46315455436707,"PASS","SELECT VAR_id FROM varInfo_synthetic WHERE AF = (SELECT MAX(AF) FROM varInfo_synthetic)",1,"20260620"
"qwen2.5-coder:latest","Select number of variants in NEK1","varInfo_synthetic",155,22,1.807721577,2.303274591,12.1700157147596,2.31447649002075,"PASS","SELECT COUNT(*) FROM varInfo_synthetic WHERE gene_name = 'NEK1';",2,"20260620"
"qwen2.5-coder:latest","What is the variant with the highest allele frequency?","varInfo_synthetic",157,16,1.331269169,1.843205155,12.0186062838206,1.8544397354126,"PASS","SELECT VAR_id FROM varInfo_synthetic ORDER BY AF DESC LIMIT 1",2,"20260620"
